"X:m","Y:m","Z:m"
"0","0","0"
"0.073","0","0.204"
"0.246","0.004","0.402"
"0.421","0.01","0.602"
"0.606","0.004","0.814"
"0.808","0.005","1.019"
"0.987","0.001","1.223"
"1.168","0.004","1.426"
"1.354","0.005","1.629"
"1.538","0.009","1.833"
"1.75","0.009","2.029"
"2.297","0.03","2.229"
"2.659","-0.024","2.247"
"2.654","0.282","2.463"
"2.574","0.812","2.646"
"2.5","1.326","2.634"
"1.796","1.291","2.624"
"1.788","0.858","2.631"
"1.811","0.789","2.442"
"1.779","0.738","2.234"
"1.71","0.714","2.024"
"1.511","0.716","1.823"
"1.312","0.716","1.62"
"1.129","0.706","1.415"
"0.941","0.693","1.213"
"0.767","0.661","1.004"
"0.581","0.631","0.798"
"0.396","0.627","0.592"
"0.235","0.615","0.392"
"0.065","0.608","0.192"
"-0.025","0.6","-0.001"
"0","0","0"
